Faculty,Year,Gender,Hr_SS  ,Hr_LL ,Resources_SS,Study_method ,Rem_LL,Rem_SS,Retain_SS_LL  ,Exam_recall,Challenge_LL  ,Challenge_SS,Long_term_retention ,Combine_LM_SS,Conceptual_understanding_LL ,Deeper_understanding_SS  
Faculty of Management studies and Commerce,2nd Year,Female,0-5 hours,6-10 hours,Online Courses,Both equally,4,5,More from lectures,5,Difficulty concentrating,Difficulty understanding complex topics,Self-study,Sometimes,No,Strongly disagree
Faculty of Applied Sciences,2nd Year,Female,0-5 hours,16-20 hours,YouTube Videos,Both equally,3,3,More from self-study,3,Limited interaction with the lecturer,Time management,Self-study,Always,No,Disagree
Faculty of Management studies and Commerce,2nd Year,Female,11-15 hours,11-15 hours,YouTube Videos,Both equally,3,4,More from self-study,3,Difficulty remembering information after the lecture,Time management,Both equally,Often,Maybe,Neutral
Faculty of Computing,1st Year,Female,0-5 hours,6-10 hours,YouTube Videos,Both equally,2,4,More from self-study,3,Difficulty remembering information after the lecture,Difficulty understanding complex topics,Both equally,Often,Maybe,Strongly agree
Faculty of Humanities and Social Sciences,3rd Year,Female,6-10 hours,6-10 hours,YouTube Videos,Both equally,4,4,More from self-study,4,Difficulty remembering information after the lecture,Time management,Both equally,Sometimes,Maybe,Agree
Faculty of Humanities and Social Sciences,1st Year,Female,6-10 hours,16-20 hours,YouTube Videos,Listening to lectures,4,5,More from lectures,4,Other,Time management,Both equally,Sometimes,Maybe,Neutral
Faculty of Humanities and Social Sciences,3rd Year,Female,0-5 hours,0-5 hours,YouTube Videos,Both equally,2,4,More from self-study,4,Difficulty concentrating,Time management,Self-study,Always,Maybe,Agree
Faculty of Humanities and Social Sciences,2nd Year,Female,6-10 hours,11-15 hours,YouTube Videos,Both equally,3,4,More from self-study,4,Other,Time management,Both equally,Sometimes,Maybe,Agree
Faculty of Management studies and Commerce,3rd Year,Female,6-10 hours,0-5 hours,YouTube Videos,Both equally,3,3,More from self-study,4,Difficulty remembering information after the lecture,Difficulty understanding complex topics,Both equally,Sometimes,Yes,Neutral
Faculty of Humanities and Social Sciences,4th Year,Female,6-10 hours,0-5 hours,Academic Journals,Self-study,3,3,More from self-study,2,Limited interaction with the lecturer,Lack of focus,Self-study,Rarely,No,Agree
Faculty of Management studies and Commerce,1st Year,Female,0-5 hours,0-5 hours,YouTube Videos,Both equally,3,4,More from lectures,4,Lack of engagement during long lectures,Lack of motivation,Both equally,Sometimes,Maybe,Agree
Faculty of Humanities and Social Sciences,4th Year,Female,6-10 hours,11-15 hours,Online Courses,Self-study,4,4,More from lectures,4,Lack of engagement during long lectures,Time management,Self-study,Sometimes,Yes,Neutral
Other,1st Year,Male,More than 20 hours,16-20 hours,YouTube Videos,Both equally,4,4,More from self-study,4,Other,Lack of motivation,Both equally,Often,Maybe,Agree
Faculty of Humanities and Social Sciences,4th Year,Female,11-15 hours,6-10 hours,Academic Journals,Self-study,4,5,More from self-study,5,Lack of engagement during long lectures,Time management,Self-study,Sometimes,Maybe,Agree
Faculty of Humanities and Social Sciences,3rd Year,Female,0-5 hours,0-5 hours,YouTube Videos,Both equally,3,2,More from self-study,4,Difficulty concentrating,Lack of motivation,Self-study,Sometimes,Maybe,Agree
